Date,Period,Attendance,StudentID,Name,GradeLevel,Teacher
10/23/2023,2,P,1001,Student 1,12,Teacher 1
10/23/2023,3,P,1001,Student 1,12,Teacher 2
10/23/2023,4,P,1001,Student 1,12,Teacher 3
10/23/2023,2,P,1002,Student 2,12,Teacher 1
10/23/2023,3,P,1002,Student 2,12,Teacher 2
10/23/2023,4,P,1002,Student 2,12,Teacher 3
10/23/2023,2,P,1003,Student 3,12,Teacher 2
10/23/2023,3,P,1003,Student 3,12,Teacher 4
10/23/2023,4,P,1003,Student 3,12,Teacher 5
10/23/2023,5,P,1003,Student 3,12,Teacher 1
10/23/2023,2,P,1004,Student 4,12,Teacher 1
10/23/2023,3,P,1004,Student 4,12,Teacher 2
10/23/2023,4,P,1004,Student 4,12,Teacher 3
10/23/2023,2,A,1005,Student 5,12,Teacher 1
10/23/2023,3,A,1005,Student 5,12,Teacher 1
10/23/2023,4,A,1005,Student 5,12,Teacher 2
10/23/2023,5,A,1005,Student 5,12,Teacher 4
10/23/2023,2,P,1006,Student 6,12,Teacher 2
10/23/2023,3,P,1006,Student 6,12,Teacher 4
10/23/2023,4,P,1006,Student 6,12,Teacher 1
10/23/2023,2,P,1007,Student 7,12,Teacher 2
10/23/2023,3,P,1007,Student 7,12,Teacher 4
10/23/2023,4,P,1007,Student 7,12,Teacher 1
10/23/2023,2,T,1008,Student 8,12,Teacher 1
10/23/2023,3,P,1008,Student 8,12,Teacher 2
10/23/2023,4,P,1008,Student 8,12,Teacher 3
10/23/2023,3,A,1009,Student 9,12,Teacher 1
10/23/2023,4,A,1009,Student 9,12,Teacher 2
10/23/2023,5,A,1009,Student 9,12,Teacher 4
10/23/2023,3,A,1010,Student 10,12,Teacher 1
10/23/2023,4,P,1010,Student 10,12,Teacher 2
10/23/2023,5,P,1010,Student 10,12,Teacher 4
10/23/2023,2,P,1011,Student 11,12,Teacher 1
10/23/2023,3,P,1011,Student 11,12,Teacher 2
10/23/2023,4,P,1011,Student 11,12,Teacher 3
10/23/2023,2,A,1012,Student 12,12,Teacher 2
10/23/2023,3,P,1012,Student 12,12,Teacher 6
10/23/2023,4,P,1012,Student 12,12,Teacher 1
10/23/2023,5,P,1012,Student 12,12,Teacher 4
10/23/2023,2,T,1013,Student 13,12,Teacher 7
10/23/2023,3,A,1013,Student 13,12,Teacher 6
10/23/2023,4,P,1013,Student 13,12,Teacher 2
10/23/2023,5,P,1013,Student 13,12,Teacher 4
10/23/2023,7,P,1013,Student 13,12,Teacher 1
10/23/2023,8,P,1013,Student 13,12,Teacher 8
10/23/2023,3,P,1014,Student 14,12,Teacher 1
10/23/2023,4,P,1014,Student 14,12,Teacher 2
10/23/2023,5,P,1014,Student 14,12,Teacher 4
10/23/2023,3,P,1015,Student 15,12,Teacher 1
10/23/2023,4,P,1015,Student 15,12,Teacher 2
10/23/2023,5,P,1015,Student 15,12,Teacher 4
10/23/2023,3,P,1016,Student 16,12,Teacher 1
10/23/2023,4,P,1016,Student 16,12,Teacher 2
10/23/2023,5,P,1016,Student 16,12,Teacher 4
10/23/2023,2,P,1017,Student 17,12,Teacher 1
10/23/2023,3,P,1017,Student 17,12,Teacher 2
10/23/2023,4,P,1017,Student 17,12,Teacher 3
10/23/2023,2,P,1018,Student 18,12,Teacher 1
10/23/2023,3,P,1018,Student 18,12,Teacher 2
10/23/2023,4,P,1018,Student 18,12,Teacher 3
10/23/2023,2,A,1019,Student 19,12,Teacher 2
10/23/2023,3,P,1019,Student 19,12,Teacher 4
10/23/2023,4,P,1019,Student 19,12,Teacher 1
10/23/2023,3,P,1020,Student 20,12,Teacher 1
10/23/2023,4,P,1020,Student 20,12,Teacher 2
10/23/2023,5,P,1020,Student 20,12,Teacher 4
10/23/2023,3,P,1021,Student 21,12,Teacher 1
10/23/2023,4,P,1021,Student 21,12,Teacher 2
10/23/2023,5,P,1021,Student 21,12,Teacher 4
10/23/2023,7,P,1021,Student 21,12,Teacher 9
10/23/2023,8,P,1021,Student 21,12,Teacher 8
10/23/2023,2,P,1022,Student 22,12,Teacher 1
10/23/2023,3,P,1022,Student 22,12,Teacher 2
10/23/2023,4,P,1022,Student 22,12,Teacher 3
10/23/2023,2,P,1023,Student 23,12,Teacher 2
10/23/2023,3,P,1023,Student 23,12,Teacher 4
10/23/2023,4,P,1023,Student 23,12,Teacher 1
10/23/2023,2,A,1024,Student 24,12,Teacher 2
10/23/2023,3,P,1024,Student 24,12,Teacher 1
10/23/2023,4,P,1024,Student 24,12,Teacher 1
10/23/2023,5,P,1024,Student 24,12,Teacher 4
10/23/2023,2,P,1025,Student 25,12,Teacher 1
10/23/2023,3,P,1025,Student 25,12,Teacher 2
10/23/2023,4,P,1025,Student 25,12,Teacher 3
10/23/2023,2,P,1026,Student 26,12,Teacher 1
10/23/2023,3,P,1026,Student 26,12,Teacher 4
10/23/2023,4,P,1026,Student 26,12,Teacher 2
10/23/2023,2,P,1027,Student 27,12,Teacher 2
10/23/2023,3,P,1027,Student 27,12,Teacher 4
10/23/2023,4,P,1027,Student 27,12,Teacher 1
10/23/2023,3,P,1028,Student 28,12,Teacher 1
10/23/2023,4,P,1028,Student 28,12,Teacher 2
10/23/2023,5,P,1028,Student 28,12,Teacher 4
10/23/2023,2,P,1029,Student 29,12,Teacher 1
10/23/2023,3,P,1029,Student 29,12,Teacher 2
10/23/2023,4,P,1029,Student 29,12,Teacher 3
10/23/2023,5,P,1029,Student 29,12,Teacher 9
10/23/2023,2,A,1030,Student 30,12,Teacher 2
10/23/2023,3,A,1030,Student 30,12,Teacher 4
10/23/2023,4,A,1030,Student 30,12,Teacher 1
10/23/2023,3,A,1031,Student 31,12,Teacher 1
10/23/2023,4,P,1031,Student 31,12,Teacher 2
10/23/2023,5,P,1031,Student 31,12,Teacher 4
10/23/2023,3,P,1032,Student 32,12,Teacher 2
10/23/2023,4,P,1032,Student 32,12,Teacher 3
10/23/2023,5,P,1032,Student 32,12,Teacher 1
10/23/2023,2,P,1033,Student 33,12,Teacher 1
10/23/2023,3,P,1033,Student 33,12,Teacher 2
10/23/2023,4,P,1033,Student 33,12,Teacher 3
10/23/2023,2,P,1034,Student 34,12,Teacher 1
10/23/2023,3,P,1034,Student 34,12,Teacher 2
10/23/2023,4,P,1034,Student 34,12,Teacher 3
10/23/2023,2,P,1035,Student 35,12,Teacher 2
10/23/2023,3,A,1035,Student 35,12,Teacher 4
10/23/2023,4,P,1035,Student 35,12,Teacher 1
10/23/2023,3,P,1036,Student 36,12,Teacher 1
10/23/2023,4,P,1036,Student 36,12,Teacher 2
